,sensor_id,time,incoming,outgoing,range,date,hour,minute,total,location_name
47,52,2021-06-17 08:24:37.375725+00:00,0,1,1min,2021-06-17,8,24,1,reitan_7eleven_carlberner
48,52,2021-06-17 08:35:59.720652+00:00,1,0,1min,2021-06-17,8,35,1,reitan_7eleven_carlberner
49,52,2021-06-17 08:36:57.085436+00:00,0,1,1min,2021-06-17,8,36,1,reitan_7eleven_carlberner
50,52,2021-06-17 08:37:36.306386+00:00,1,0,1min,2021-06-17,8,37,1,reitan_7eleven_carlberner
51,52,2021-06-17 08:38:00.445179+00:00,0,1,1min,2021-06-17,8,38,1,reitan_7eleven_carlberner
52,52,2021-06-17 08:39:34.005187+00:00,0,1,1min,2021-06-17,8,39,1,reitan_7eleven_carlberner
53,52,2021-06-17 08:40:13.219349+00:00,0,1,1min,2021-06-17,8,40,1,reitan_7eleven_carlberner
54,52,2021-06-17 08:41:37.727750+00:00,1,0,1min,2021-06-17,8,41,1,reitan_7eleven_carlberner
55,52,2021-06-17 08:42:16.928788+00:00,1,0,1min,2021-06-17,8,42,1,reitan_7eleven_carlberner
56,52,2021-06-17 08:45:05.893910+00:00,0,1,1min,2021-06-17,8,45,1,reitan_7eleven_carlberner
57,52,2021-06-17 08:48:55.327402+00:00,0,1,1min,2021-06-17,8,48,1,reitan_7eleven_carlberner
58,52,2021-06-17 08:49:16.420722+00:00,0,1,1min,2021-06-17,8,49,1,reitan_7eleven_carlberner
59,52,2021-06-17 08:53:57.264147+00:00,1,0,1min,2021-06-17,8,53,1,reitan_7eleven_carlberner
60,52,2021-06-17 09:08:50.816811+00:00,0,1,1min,2021-06-17,9,8,1,reitan_7eleven_carlberner
61,52,2021-06-17 09:12:43.183408+00:00,0,1,1min,2021-06-17,9,12,1,reitan_7eleven_carlberner
62,52,2021-06-17 09:13:43.548667+00:00,1,0,1min,2021-06-17,9,13,1,reitan_7eleven_carlberner
63,52,2021-06-17 09:16:59.682433+00:00,0,1,1min,2021-06-17,9,16,1,reitan_7eleven_carlberner
64,52,2021-06-17 09:17:41.976310+00:00,1,0,1min,2021-06-17,9,17,1,reitan_7eleven_carlberner
65,52,2021-06-17 09:20:37.039387+00:00,0,1,1min,2021-06-17,9,20,1,reitan_7eleven_carlberner
